,0
Q12SEX,Sex  of each household member
Q13POPGROUP,Population group of each household member
Q14AGE,Age of each household member
Q16RELATION,Relationship to head of household
Q17MARITAL,Present marital status of each household member
Q110FATHALIVE,Biological father alive
Q113MOTHALIVE,Biological mother still alive
Q11701SALWAG,Income from salaries and wages
Q11710GRANTS,Income from social welfare grants
Q21HIGHLEVEL,Highest level of education successfully completed
Q25WRITE,Level of difficulty in writing
Q25READ,Level of difficulty in reading
Q25FORM,Level of difficulty in filling a form
Q25CALCULATE,Level of difficulty in calculating
Q26CURATT,Currently attending educational institution
Q31AWAGE,Work for a wage
Q31BBUS,Run a business
Q311DISTANCE,Distance travelled to work
Q41ASOCGRANT,Social grant(s)
Q41B1OLDAGE,Old age grant
Q41B2DISAB,Disability grant
Q41B3CHILD,Child support grant
Q181ACOVERED,Covered by medical aid
Q182HEALTH,Health/medical insurance
Q25121HIBLOOD,Hypertension/ high blood pressure diagnosis
Q25122SUGAR,Diabetes/ high blood sugar diagnosis
Q25123TB,TB diagnosis
Q25124CANCER,Cancer diagnosis
Q25125ASTHMA,Asthma diagnosis
Q25126HEART,Congenital heart disease diagnosis
Q25127ARTHRITIS,Arthritis diagnosis
Q25128MENTAL,Mental illness diagnosis
Q25129EPILEP,Epilepsy diagnosis
Q251210HICHOL,High cholesterol diagnosis
Q251211AIDS,HIV and AIDS diagnosis
Q251212OTHER,Other chronic illnesses diagnosis
Q25131HIBLOOD,Hypertension/ high blood pressure medication taken
Q25132SUGAR,Diabetes/ high blood sugar medication taken
Q25133TB,TB medication taken
Q25134CANCER,Cancer medication taken
Q25135ASTHMA,Asthma medication taken
Q25136HEART,Congenital heart disease medication taken
Q25137ARTHRITIS,Arthritis medication taken
Q25138MENTAL,Mental illness medication taken
Q25139EPILEP,Epilepsy medication taken
Q251310HICHOL,High cholesterol medication taken
Q251311AIDS,HIV and AIDS medication taken
Q2514INJURED,Injury requiring medical treatment
Q2517PLACE,Place  for medical assistance
Q2518KIND,Kind of place usually visited when sick
Q2519PLACE,Same place visited for routine/preventative care
Q251101EXPEN,Expensive to consult
Q251102WAIT,Wait too long to see the doctor
Q251103NOTPOEN,Clinic or doctors room not open
Q251104NOMONEY,No money for transport
Q25111MEDSER,Need for any medical service
Q251121GENERAL,Need for general health care but not afforded
Q251125PRESCIB,Need for prescribed medication but not afforded
Q251126FOLLOW,Need for follow-up care but not afforded
Q2527BREATHE,Breath faster than usual when coughing
province_code,Province code
SETTLEMENT_TYPE,Settlement type
Persns_wgt,Person weights
Q116PRESENT,Present household living standard /wellbeing
Q51MAIN,Description of the main dwelling
Q52AWALLS,Main material used for walls of the main dwelling
Q52AROOF,Main material used for the roof of the main dwelling
Q52BMATFLOOR,Main material used for the floor of the main
Q53WALLS,Condition of walls of the main dwelling
Q53ROOF,Condition of the roof of the main dwelling
Q53FLOOR,Condition of the floor of the main dwelling
Q54ADWELLING,Government housing subsidy for the main dwelling
Q54BSTATESUB,State subsidized house/flat
Q55INDIGENT,Registration on indigent register with local municipality
Q56DRINK,Main source of water for drinking
Q56OTHER,Main source of water for other use
Q57DRINK,Distance from dwelling to main source of drinking water
Q59CLEAR,Clear drinking water from main source before treatment
Q59TASTE,Drinking water from main source good in taste before treatment
Q59SMELL,Drinking water from main source free from bad smell before treatment
Q59SAFE,Drinking water from main source safe to drink before treatment
Q510TREAT,Drinking water treatment
Q511SUPPLY,Drinking water supplier
Q515PAYWAT,Pay for water
Q518TOILET,Type of toilet facility
Q520SHARETOIL,Shared toilet facility
Q521TOILETLOC,Toilet facility location
Q523FREESANI,Free sanitation and sewerage services
Q524ELECT,Access to/use electricity
Q526FREEELCET,Free electricity
Q527COOK,Main source of energy/fuel for cooking
Q527LIGHT,Main source of energy/fuel for lighting
Q527WATER,Main source of energy/fuel for water heating
