UQNO,Unique Number,0
SURVEYDATE,Survey date,0
PERSONNO,Person number,0
Q12SEX,Sex  of each household member,1
Q13POPGROUP,Population group of each household member,1
Q14AGE,Age of each household member,1
Q16RELATION,Relationship to head of household,1
Q17MARITAL,Present marital status of each household member,1
Q18PARTINHH,Spouse/partner a residing member of the household,0
Q19SPOUSNO,Spouse number,0
Q110FATHALIVE,Biological father alive,1
Q111FATHINHH,Biological father a residing member of the household,0
Q112FATHNO,Biological father person number,0
Q113MOTHALIVE,Biological mother still alive,1
Q114MOTHINHH,Biological mother a residing member of the household,0
Q115MOTHNO,Biological mother person number,0
Q11701SALWAG,Income from salaries and wages,1
Q11702NETPROF,Income from net profit of business,1
Q11703SUBFARM,Income from subsistence farming,0
Q11704LETTING,Income from letting of fixed property,0
Q11705ROYAL,Income from royalties,0
Q11706INTREC,Income from interest received,0
Q11707DIV,Income from dividends on shares,0
Q11708SHARE,Income from share trading,0
Q11709REGPEN,Income from regular receipts from pension,1
Q11710GRANTS,Income from social welfare grants,1
Q11711ALMONY,Income from alimony,1
Q11712ALLOWAN,Income from regular allowances/remittances,1
Q11713OTHER,Main source of income,0
Q11714NOTOALL,No to all,0
Q21HIGHLEVEL,Highest level of education successfully completed,1
Q22ATTEND,Children school attendance,0
Q23WHERE,Childrens whereabouts during the day,0
Q24ECDPROG,Early Childhood Development programme,0
Q25WRITE,Level of difficulty in writing,1
Q25READ,Level of difficulty in reading,1
Q25FORM,Level of difficulty in filling a form,1
Q25LETTER,Level of difficulty in writing a letter,0
Q25CALCULATE,Level of difficulty in calculating,1
Q25SIGNS,Level of difficulty in reading road signs,0
Q26CURATT,Currently attending educational institution,1
Q27AINST,Educational institution attended,1
Q27BTYPE,Type of educational institution,1
Q281CLASS,Classrooms at school,0
Q282WATER,Running water at school,1
Q283TOILET,Toilet facility at school,1
Q284LIBR,Library at school,1
Q285SCILAB,Science laboratory at school,1
Q286COMP,Computers at school,1
Q287FEEDING,Feeding scheme at school,0
Q288SEC,Security guard at school,0
Q289SPORTS,Sports facilities at school,1
Q29PAYFEES,Pay fees,0
Q210WHYNOFEE,Why no fees paid,0
Q211REASON,Reason for not attending school,1
Q31AWAGE,Work for a wage,1
Q31BBUS,Run a business,1
Q31CNOPAY,Work without pay,1
Q32JOBRETURN,Job to return to,0
Q33LOOKING,Looking for any kind of work,0
Q34LIKEWORK,Liked to work,0
Q35MAINREASON,Main reason for not trying to find work,0
Q36ABLE,Able to start work/business,0
Q39SECTOR,Employment sector,0
Q310DURATION,Duration of work,0
Q311DISTANCE,Distance travelled to work,1
Q312MODE,Mode of transport to get to work,0
Q313TIME,Time taken to get to work,0
Q41ASOCGRANT,Social grant(s),1
Q41B1OLDAGE,Old age grant,1
Q41B2DISAB,Disability grant,1
Q41B3CHILD,Child support grant,1
Q41B4CAREDEP,Care dependency grant,1
Q41B5FOSTER,Foster care grant,1
Q41B6WARVET,War veterans grant,0
Q41B7INAID,Grant-in-aid,0
Q42ASOCRELIEF,Social relief,0
Q42B1CASH,Cash for social relief,0
Q42B2FOOD,Food for social relief,0
Q42B3BLANK,Blankets for social relief,0
Q42B4CLOTHES,Clothes for social relief,0
Q42B5OTHER,Other items received for social relief,0
Q43ANEIGHBOUR,Social relief from neighbours,0
Q43ARELIGIOUS,Social relief from religious organizations,0
Q43ANGO,Social relief from NGOs,0
Q43AMUNIC,Social relief from local municipality,0
Q43APROVGOV,Social relief from provincial government,0
Q43ANATGOV,Social relief from national government,0
Q43AOTHER,Social relief from other organizations,0
Q43BOFTEN,How often is the social relief provided,0
Q44REASON,Reason for receipt of social relief,0
Q45SCALE,Life satisfaction scale,0
Q46HAPPY,Level of happiness,1
Q181ACOVERED,Covered by medical aid,1
Q181B1SELF,Self-payment of medical aid/scheme,0
Q181B2HHMEM,Medical aid paid by another household member,0
